,Angola,,,Zimbabwe,,,Kenya,,,Morocco,,,Cote d'Ivoire,,,Djibouti,,,Nigeria,,,Ethiopia,,,Burundi,,,Somalia,,
date,total_cases,total_deaths,scheduled flight,total_cases,total_deaths,scheduled flight,total_cases,total_deaths,scheduled flight ,total_cases,total_deaths,scheduled flight,total_cases,total_deaths,scheduled flight,total_cases,total_deaths,scheduled flight,total_cases,total_deaths,scheduled flight,total_cases,total_deaths,scheduled flight ,total_cases,total_deaths,scheduled flight ,total_cases,total_deaths,scheduled flight
26/04/2020,25,2,1,31,4,6,343,14,7,3897,159,14,1111,14,1,1008,2,0,1182,35,1,122,3,27,15,1,0,390,18,0
27/04/2020,26,2,4,31,4,9,355,14,23,4065,161,15,1150,14,0,1023,2,1,1273,40,56,123,3,22,15,1,0,436,23,0
28/04/2020,27,2,1,32,4,8,363,14,27,4120,162,16,1164,14,3,1035,2,0,1337,40,58,124,3,29,15,1,0,480,26,0
29/04/2020,27,2,0,32,4,10,374,14,27,4252,165,15,1183,14,1,1072,2,1,1532,44,60,126,3,36,15,1,0,528,28,1
30/04/2020,27,2,1,34,4,12,384,15,51,4321,168,22,1238,14,2,1077,2,1,1728,51,75,130,3,43,15,1,2,582,28,1
01/05/2020,27,2,0,34,4,10,396,17,53,4423,170,13,1275,14,1,1089,2,0,1932,58,57,131,3,46,15,1,2,601,28,0
02/05/2020,29,2,0,34,4,10,411,21,59,4569,171,10,1333,15,1,1097,2,0,2170,68,53,133,3,37,15,1,0,601,28,0
03/05/2020,35,2,11,34,4,30,435,22,319,4729,173,76,1362,15,18,1112,2,8,2388,85,271,133,3,85,19,1,3,671,31,13
04/05/2020,35,2,8,34,4,26,465,24,309,4903,174,66,1398,17,15,1112,2,7,2558,87,278,135,3,94,19,1,3,722,32,16
05/05/2020,35,2,5,34,4,37,490,24,315,5043,179,77,1432,17,14,1116,2,5,2802,93,247,140,3,95,19,1,4,756,35,12
06/05/2020,36,2,5,34,4,36,535,24,385,5219,181,76,1464,18,11,1120,2,5,2950,98,260,145,4,98,19,1,5,835,38,20
07/05/2020,36,2,5,34,4,38,582,26,319,5408,183,83,1516,18,6,1120,3,0,3145,103,258,162,4,58,19,1,1,873,39,6
08/05/2020,36,2,2,34,4,23,607,29,296,5548,183,71,1571,20,7,1133,3,2,3526,107,225,191,4,68,19,1,0,928,44,6
09/05/2020,43,2,0,35,4,30,621,29,243,5711,186,81,1602,20,4,1135,3,0,3912,117,239,194,4,43,19,1,3,928,44,14
10/05/2020,43,2,5,36,4,37,649,30,251,5910,186,74,1667,21,6,1189,3,7,4151,128,248,210,5,53,19,1,1,997,48,8
11/05/2020,45,2,7,36,4,33,672,32,254,6063,188,69,1700,21,10,1210,3,4,4399,143,256,239,5,58,19,1,3,1054,51,11
12/05/2020,45,2,2,37,4,36,700,33,252,6281,188,72,1730,21,9,1227,3,3,4641,150,245,250,5,54,19,1,3,1089,52,7
13/05/2020,45,2,7,37,4,27,715,36,252,6418,188,71,1857,21,6,1256,3,3,4787,158,247,261,5,46,27,1,3,1170,52,14
14/05/2020,45,2,5,37,4,32,737,40,263,6512,188,80,1912,24,5,1268,3,0,4971,164,250,263,5,56,27,1,2,1219,52,4
15/05/2020,48,2,16,37,4,19,758,42,232,6607,190,68,1971,24,9,1284,3,4,5162,167,221,272,5,91,27,1,1,1284,53,10
16/05/2020,48,2,5,42,4,25,781,45,248,6652,190,76,2017,24,8,1309,4,0,5445,171,210,287,5,47,27,1,4,1284,53,14
17/05/2020,48,2,3,44,4,28,830,50,255,6741,192,77,2061,25,7,1331,4,6,5621,176,212,306,5,53,27,1,2,1357,55,8
18/05/2020,48,2,13,46,4,23,887,50,250,6870,192,66,2109,27,11,1401,4,6,5959,182,218,317,5,51,42,1,3,1421,56,11
19/05/2020,48,2,24,46,4,34,912,50,253,6952,192,70,2119,28,9,1518,7,4,6175,191,211,352,5,56,42,1,3,1455,57,7
20/05/2020,50,2,82,46,4,32,963,50,317,7023,193,74,2153,28,11,1518,7,3,6401,192,209,365,5,48,42,1,5,1502,59,15
21/05/2020,52,3,76,48,4,38,1029,50,329,7133,194,94,2231,29,5,1828,9,1,6677,200,223,389,5,55,42,1,4,1573,61,5
22/05/2020,58,3,91,51,4,18,1109,50,229,7211,196,94,2231,29,7,2047,10,2,7016,211,186,399,5,57,42,1,0,1594,61,6
23/05/2020,60,3,74,56,4,27,1161,50,250,7332,197,88,2301,29,5,2270,10,1,7261,221,200,433,5,47,42,1,3,1594,61,14
24/05/2020,60,3,85,56,4,36,1192,50,311,7406,198,83,2366,30,8,2270,10,5,7526,221,206,494,5,53,42,1,1,1594,61,8
25/05/2020,69,4,83,56,4,32,1214,51,297,7433,199,91,2376,30,9,2270,10,3,7839,226,215,582,5,52,42,1,2,1594,61,11
26/05/2020,69,4,,56,4,,1286,52,,7532,200,,2423,30,,2468,14,,8068,233,,655,5,,42,1,,1689,66,
27/05/2020,71,4,,56,4,,1348,52,,7577,202,,2477,30,,2468,14,,8344,249,,701,6,,42,1,,1711,67,
